Member,Tension,Shear Force,Displacement,Elongation,Moment,Rotation,@,Moment,Rotation,@
37,0.508,0.116,0.000,0.000,0.810,-0.000,40,-0.463,-0.000,41
38,0.508,0.116,0.000,0.000,0.463,-0.000,41,-0.116,-0.000,42
39,0.508,0.116,0.000,0.000,0.116,-0.000,42,0.231,-0.000,43
40,-0.478,0.309,0.000,-0.000,4.208,-0.000,43,-3.280,-0.000,44
41,-0.478,0.309,0.000,-0.000,3.280,-0.000,44,-2.352,-0.000,45
42,-0.478,0.309,0.000,-0.000,2.352,-0.000,45,-1.424,-0.000,46
43,-0.478,0.309,0.001,-0.000,1.424,-0.000,46,-0.186,-0.000,47
44,-0.478,0.309,0.000,-0.000,0.186,-0.000,47,0.742,-0.000,48
45,-0.478,0.309,0.000,-0.000,-0.742,-0.000,48,1.670,-0.000,49
46,-0.478,0.309,0.000,-0.000,-1.670,-0.000,49,2.598,-0.000,50
47,-0.478,0.309,0.000,-0.000,-2.598,-0.000,50,3.527,-0.000,51
48,-0.873,0.114,0.000,-0.000,1.376,0.000,52,-1.033,-0.000,53
49,-0.873,0.114,0.000,-0.000,1.033,-0.000,53,-0.690,-0.000,54
50,-0.873,0.114,0.000,-0.000,0.690,-0.000,54,-0.348,-0.000,55
51,-0.873,0.114,0.000,-0.000,0.348,-0.000,55,0.109,-0.000,56
52,-0.873,0.114,0.000,-0.000,-0.109,-0.000,56,0.451,-0.000,57
53,-0.873,0.114,0.000,-0.000,-0.451,-0.000,57,0.794,-0.000,58
54,-0.873,0.114,0.000,-0.000,-0.794,-0.000,58,1.137,-0.000,59
55,-0.873,0.114,0.000,-0.000,-1.137,-0.000,59,1.479,0.000,60
56,-0.113,0.080,0.000,-0.000,1.087,0.000,61,-0.848,-0.000,62
57,-0.113,0.080,0.000,-0.000,0.848,-0.000,62,-0.610,-0.000,63
58,-0.113,0.080,0.000,-0.000,0.610,-0.000,63,-0.371,-0.000,64
59,-0.113,0.080,0.000,-0.000,0.371,-0.000,64,-0.052,-0.000,65
60,-0.113,0.080,0.000,-0.000,0.052,-0.000,65,0.186,-0.000,66
61,-0.113,0.080,0.000,-0.000,-0.186,-0.000,66,0.425,-0.000,67
62,-0.113,0.080,0.000,-0.000,-0.425,-0.000,67,0.664,-0.000,68
63,-0.113,0.080,0.000,-0.000,-0.664,-0.000,68,0.903,-0.000,69
64,-0.250,-0.135,-0.000,-0.000,-0.848,-0.000,8,0.579,-0.000,70
65,-0.250,-0.135,0.000,-0.000,-0.579,-0.000,70,0.310,0.000,71
66,-0.250,-0.135,0.000,-0.000,-0.310,0.000,71,0.040,0.000,72
67,-0.250,-0.135,0.000,-0.000,-0.040,0.000,72,-0.229,0.000,17
68,-0.023,-1.874,0.000,-0.000,-2.636,0.000,17,0.761,0.000,73
69,-0.023,-1.874,0.000,-0.000,-0.761,0.000,73,-2.987,0.000,74
70,-0.023,-1.874,-0.000,-0.000,2.987,0.000,74,-6.735,-0.000,26
71,-0.309,-0.478,0.000,-0.000,-1.727,0.000,34,0.772,0.000,75
72,-0.309,-0.478,0.000,-0.000,-0.772,0.000,75,-0.184,0.000,76
73,-0.309,-0.478,0.000,-0.000,0.184,0.000,76,-1.139,0.000,77
74,-0.309,-0.478,0.000,-0.000,1.139,0.000,77,-2.094,-0.000,78
75,-0.309,-0.478,-0.000,-0.000,2.094,-0.000,78,-3.049,-0.000,79
76,-0.309,-0.478,-0.000,-0.000,3.049,-0.000,79,-3.527,-0.000,51
77,-0.194,-0.986,-0.000,-0.000,-4.439,-0.000,43,2.467,-0.000,80
78,-0.194,-0.986,0.000,-0.000,-2.467,-0.000,80,0.495,0.000,81
79,-0.194,-0.986,0.000,-0.000,-0.495,0.000,81,-1.477,0.000,60
80,-0.080,-0.113,0.000,-0.000,-0.002,0.000,60,-0.224,0.000,82
81,-0.080,-0.113,0.000,-0.000,0.224,0.000,82,-0.450,0.000,83
82,-0.080,-0.113,-0.000,-0.000,0.450,0.000,83,-0.676,-0.000,84
83,-0.080,-0.113,-0.000,-0.000,0.676,-0.000,84,-0.903,-0.000,69
